,family_history,know_resources,emp_mh_resources,mh_benefits,mh_with_coworkers,mh_with_supervisor,past_disorder,ph_or_mh_discuss,reveal_to_clients,mention_interview,share_with_f&f,num_employees,ever_diagnosed,identified,identifited_neg_consequences,medical_coverage,primarily_tech,primary_role_tech,self-employed,sought_treatment
1518,Yes,I know some,No,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1519,No,I know some,No,No,No,Maybe,No,Physical health,Not applicable to me,No,,,,,,,,,,
1520,No,I know some,I don't know,I don't know,No,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
1521,No,"No, I don't know any",No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1522,No,"No, I don't know any",No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1523,No,I know some,No,No,Maybe,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
1524,Yes,I know some,Yes,Yes,No,Maybe,Yes,Physical health,Not applicable to me,Yes,,,,,,,,,,
0,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,,,,,,,,,,,4,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2,,,,,,,,,,,5,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
7,,,,,,,,,,,3,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
9,,,,,,,,,,,4,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10,,,,,,,,,,,2,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
12,,,,,,,,,,,5,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
13,,,,,,,,,,,3,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
14,,,,,,,,,,,8,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
15,,,,,,,,,,,9,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
16,,,,,,,,,,,10,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
17,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
18,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
19,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
20,,,,,,,,,,,3,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
21,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
22,,,,,,,,,,,10,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
23,,,,,,,,,,,5,1-5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
24,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
25,,,,,,,,,,,5,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
26,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
27,,,,,,,,,,,4,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
28,,,,,,,,,,,9,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
29,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
30,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
31,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
32,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
33,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
34,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
35,,,,,,,,,,,5,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
36,,,,,,,,,,,8,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
37,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
38,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
39,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
40,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
41,,,,,,,,,,,1,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
42,,,,,,,,,,,4,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
43,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
44,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
45,,,,,,,,,,,6,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
46,,,,,,,,,,,9,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
47,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
48,,,,,,,,,,,2,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
49,,,,,,,,,,,10,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
50,,,,,,,,,,,10,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
51,,,,,,,,,,,10,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
52,,,,,,,,,,,6,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
53,,,,,,,,,,,6,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
54,,,,,,,,,,,5,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
55,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
56,,,,,,,,,,,0,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
57,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
58,,,,,,,,,,,9,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
59,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
60,,,,,,,,,,,1,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
61,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
62,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
63,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
64,,,,,,,,,,,4,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
65,,,,,,,,,,,2,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
66,,,,,,,,,,,10,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
67,,,,,,,,,,,3,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
68,,,,,,,,,,,6,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
69,,,,,,,,,,,4,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
70,,,,,,,,,,,5,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
71,,,,,,,,,,,5,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
72,,,,,,,,,,,8,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
73,,,,,,,,,,,5,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
74,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
75,,,,,,,,,,,2,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
76,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
77,,,,,,,,,,,2,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
78,,,,,,,,,,,3,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
79,,,,,,,,,,,5,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
80,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
81,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
82,,,,,,,,,,,4,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
83,,,,,,,,,,,7,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
84,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
85,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
86,,,,,,,,,,,1,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
87,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
88,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
89,,,,,,,,,,,1,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
90,,,,,,,,,,,4,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
91,,,,,,,,,,,3,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
92,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
93,,,,,,,,,,,0,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
94,,,,,,,,,,,8,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
95,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
96,,,,,,,,,,,0,1-5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
97,,,,,,,,,,,5,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
98,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
99,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
100,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
101,,,,,,,,,,,3,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
102,,,,,,,,,,,8,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
103,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
104,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
105,,,,,,,,,,,9,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
106,,,,,,,,,,,0,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
107,,,,,,,,,,,4,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
108,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
109,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
110,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
111,,,,,,,,,,,5,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
112,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
113,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
114,,,,,,,,,,,4,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
115,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
116,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
117,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
118,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
119,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
120,,,,,,,,,,,6,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
121,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
122,,,,,,,,,,,3,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
123,,,,,,,,,,,10,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
124,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
125,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
126,,,,,,,,,,,6,1-5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
127,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
128,,,,,,,,,,,5,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
129,,,,,,,,,,,3,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
130,,,,,,,,,,,6,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
131,,,,,,,,,,,8,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
132,,,,,,,,,,,7,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
133,,,,,,,,,,,0,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
134,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
135,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
136,,,,,,,,,,,1,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
137,,,,,,,,,,,9,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
138,,,,,,,,,,,5,1-5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
139,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
140,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
141,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
142,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
143,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
144,,,,,,,,,,,4,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
145,,,,,,,,,,,10,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
146,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
147,,,,,,,,,,,6,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
148,,,,,,,,,,,9,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
149,,,,,,,,,,,2,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
150,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
151,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
152,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
153,,,,,,,,,,,7,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
154,,,,,,,,,,,3,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
155,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
156,,,,,,,,,,,9,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
157,,,,,,,,,,,9,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
158,,,,,,,,,,,4,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
159,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
160,,,,,,,,,,,6,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
161,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
162,,,,,,,,,,,7,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
163,,,,,,,,,,,9,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
164,,,,,,,,,,,9,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
165,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
166,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
167,,,,,,,,,,,5,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
168,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
169,,,,,,,,,,,7,1-5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
170,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
171,,,,,,,,,,,4,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
172,,,,,,,,,,,7,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
173,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
174,,,,,,,,,,,10,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
175,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
176,,,,,,,,,,,9,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
177,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
178,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
179,,,,,,,,,,,1,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
180,,,,,,,,,,,5,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
181,,,,,,,,,,,8,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
182,,,,,,,,,,,0,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
183,,,,,,,,,,,10,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
184,,,,,,,,,,,0,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
185,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
186,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
187,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
188,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
189,,,,,,,,,,,4,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
190,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
191,,,,,,,,,,,9,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
192,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
193,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
194,,,,,,,,,,,5,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
195,,,,,,,,,,,2,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
196,,,,,,,,,,,10,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
197,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
198,,,,,,,,,,,6,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
199,,,,,,,,,,,3,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
200,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
201,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
202,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
203,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
204,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
205,,,,,,,,,,,5,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
206,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
207,,,,,,,,,,,4,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
208,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
209,,,,,,,,,,,0,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
210,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
211,,,,,,,,,,,9,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
212,,,,,,,,,,,10,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
213,,,,,,,,,,,9,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
214,,,,,,,,,,,8,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
215,,,,,,,,,,,8,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
216,,,,,,,,,,,7,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
217,,,,,,,,,,,9,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
218,,,,,,,,,,,10,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
219,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
220,,,,,,,,,,,9,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
221,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
222,,,,,,,,,,,9,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
223,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
224,,,,,,,,,,,5,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
225,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
226,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
227,,,,,,,,,,,6,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
228,,,,,,,,,,,0,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
229,,,,,,,,,,,2,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
230,,,,,,,,,,,9,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
231,,,,,,,,,,,9,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
232,,,,,,,,,,,6,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
233,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
234,,,,,,,,,,,5,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
235,,,,,,,,,,,3,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
236,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
237,,,,,,,,,,,5,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
238,,,,,,,,,,,7,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
239,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
240,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
241,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
242,,,,,,,,,,,3,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
243,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
244,,,,,,,,,,,0,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
245,,,,,,,,,,,0,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
246,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
247,,,,,,,,,,,7,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
248,,,,,,,,,,,5,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
249,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
250,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
251,,,,,,,,,,,9,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
252,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
253,,,,,,,,,,,6,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
254,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
255,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
256,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
257,,,,,,,,,,,2,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
258,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
259,,,,,,,,,,,9,1-5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
260,,,,,,,,,,,0,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
261,,,,,,,,,,,4,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
262,,,,,,,,,,,7,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
263,,,,,,,,,,,9,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
264,,,,,,,,,,,7,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
265,,,,,,,,,,,10,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
